STNAM,FIPST,LEAID,LEANM,NCESSCH,SCHNAM,ALL_COHORT_1415,ALL_RATE_1415,MAM_COHORT_1415,MAM_RATE_1415,MAS_COHORT_1415,MAS_RATE_1415,MBL_COHORT_1415,MBL_RATE_1415,MHI_COHORT_1415,MHI_RATE_1415,MTR_COHORT_1415,MTR_RATE_1415,MWH_COHORT_1415,MWH_RATE_1415,CWD_COHORT_1415,CWD_RATE_1415,ECD_COHORT_1415,ECD_RATE_1415,LEP_COHORT_1415,LEP_RATE_1415,DATE_CUR
VIRGINIA,51,5101830,HANOVER CO PBLC SCHS,510183000114,ATLEE HIGH,398,93,.,.,9,GE50,41,GE90,11,GE50,.,.,329,94,53,70-79,13,GE50,.,.,26NOV16
VIRGINIA,51,5101830,HANOVER CO PBLC SCHS,510183000772,LEE DAVIS HIGH,380,89,.,.,7,GE50,37,70-79,6,GE50,.,.,324,90,55,40-49,21,40-59,1,PS,26NOV16
VIRGINIA,51,5101830,HANOVER CO PBLC SCHS,510183000776,PATRICK HENRY HIGH,330,91,.,.,2,PS,38,80-89,11,GE50,.,.,271,90-94,37,60-69,30,60-79,4,PS,26NOV16
VIRGINIA,51,5101830,HANOVER CO PBLC SCHS,510183002338,HANOVER HIGH,313,92,.,.,9,GE50,27,GE80,7,GE50,.,.,262,90-94,52,60-69,15,GE50,1,PS,26NOV16
VIRGINIA,51,5101860,HARRISONBURG CITY PBLC SCHS,510186000782,HARRISONBURG HIGH,338,84,.,.,19,GE80,41,80-89,124,75-79,.,.,147,85-89,28,40-59,192,80-84,49,50-59,26NOV16
VIRGINIA,51,5101890,HENRICO CO PBLC SCHS,510189000795,FREEMAN HIGH,409,84,.,.,36,50-59,54,70-79,39,70-79,.,.,273,90-94,35,40-49,96,65-69,28,21-39,26NOV16
VIRGINIA,51,5101890,HENRICO CO PBLC SCHS,510189000804,HENRICO HIGH,375,79,.,.,29,GE80,295,75-79,6,GE50,.,.,39,GE90,49,30-39,187,75-79,1,PS,26NOV16
VIRGINIA,51,5101890,HENRICO CO PBLC SCHS,510189000806,HERMITAGE HIGH,426,77,.,.,16,GE80,220,75-79,49,60-69,.,.,130,80-84,78,45-49,238,75-79,14,LT50,26NOV16
VIRGINIA,51,5101890,HENRICO CO PBLC SCHS,510189000809,HIGHLAND SPRINGS HIGH,442,78,.,.,1,PS,346,81,18,60-79,.,.,61,65-69,64,40-44,263,75-79,6,LT50,26NOV16
VIRGINIA,51,5101890,HENRICO CO PBLC SCHS,510189000811,TUCKER HIGH,397,78,.,.,47,80-89,120,70-74,60,70-79,.,.,149,80-84,39,30-39,167,70-74,25,21-39,26NOV16
VIRGINIA,51,5101890,HENRICO CO PBLC SCHS,510189000835,VARINA HIGH,427,81,.,.,1,PS,277,80-84,13,GE50,.,.,115,70-74,52,40-49,188,75-79,6,LT50,26NOV16
VIRGINIA,51,5101890,HENRICO CO PBLC SCHS,510189001851,GODWIN HIGH,433,95,.,.,33,GE90,29,GE80,31,GE90,.,.,322,96,31,70-79,50,80-89,6,GE50,26NOV16
VIRGINIA,51,5101890,HENRICO CO PBLC SCHS,510189002278,DEEP RUN HIGH,386,96,.,.,47,GE90,18,GE80,17,GE80,.,.,292,GE95,29,60-79,13,GE50,10,GE50,26NOV16
VIRGINIA,51,5101890,HENRICO CO PBLC SCHS,510189002837,GLEN ALLEN HIGH,394,94,.,.,39,GE90,72,90-94,22,GE80,.,.,246,90-94,34,70-79,51,80-89,8,GE50,26NOV16
VIRGINIA,51,5101920,HENRY CO PBLC SCHS,510192000837,BASSETT HIGH,287,85,.,.,1,PS,48,80-89,18,GE80,.,.,211,80-84,38,60-69,167,80-84,4,PS,26NOV16
VIRGINIA,51,5101920,HENRY CO PBLC SCHS,510192002125,MAGNA VISTA HIGH,204,84,.,.,1,PS,60,GE90,20,GE80,.,.,113,80-84,18,21-39,110,80-84,4,PS,26NOV16
VIRGINIA,51,5101950,HIGHLAND CO PBLC SCHS,510195000862,HIGHLAND HIGH,12,GE50,.,.,.,.,.,.,.,.,.,.,12,GE50,4,PS,9,GE50,.,.,26NOV16
VIRGINIA,51,5101980,HOPEWELL CITY PBLC SCHS,510198000867,HOPEWELL HIGH,298,75,.,.,2,PS,152,75-79,25,GE80,.,.,114,70-74,39,30-39,184,70-74,6,LT50,26NOV16
VIRGINIA,51,5102010,ISLE OF WIGHT CO PBLC SCHS,510201000875,SMITHFIELD HIGH,314,89,.,.,2,PS,95,80-84,16,GE80,.,.,182,90-94,36,70-79,86,75-79,.,.,26NOV16
VIRGINIA,51,5102010,ISLE OF WIGHT CO PBLC SCHS,510201000877,WINDSOR HIGH,125,85-89,.,.,.,.,26,GE80,2,PS,.,.,94,85-89,12,GE50,41,80-89,.,.,26NOV16
VIRGINIA,51,5102070,KING AND QUEEN CO PBLC SCHS,510207000878,CENTRAL HIGH,45,80-89,.,.,.,.,19,GE80,.,.,.,.,25,GE80,3,PS,26,GE80,.,.,26NOV16
VIRGINIA,51,5102100,KING GEO CO PBLC SCHS,510210000882,KING GEORGE HIGH,319,92,.,.,3,PS,79,85-89,21,GE80,.,.,197,GE95,38,60-69,81,80-84,1,PS,26NOV16
