STNAM,FIPST,LEAID,LEANM,NCESSCH,SCHNAM,ALL_COHORT_1314,ALL_RATE_1314,MAM_COHORT_1314,MAM_RATE_1314,MAS_COHORT_1314,MAS_RATE_1314,MBL_COHORT_1314,MBL_RATE_1314,MHI_COHORT_1314,MHI_RATE_1314,MTR_COHORT_1314,MTR_RATE_1314,MWH_COHORT_1314,MWH_RATE_1314,CWD_COHORT_1314,CWD_RATE_1314,ECD_COHORT_1314,ECD_RATE_1314,LEP_COHORT_1314,LEP_RATE_1314,INSERT_DATE,DATE_CUR
ARIZONA,04,0400760,Glendale Preparatory Academy,040076002911,Great Hearts Academies - Glendale Prep,27,GE80,.,.,2,PS,.,.,1,PS,.,.,21,GE80,.,.,.,.,.,.,30AUG15,29AUG15
ARIZONA,04,0400769,Imagine Prep Coolidge  Inc.,040076902956,Imagine Prep Coolidge,28,60-79,.,.,2,PS,.,.,14,GE50,.,.,11,GE50,.,.,13,GE50,.,.,30AUG15,29AUG15
ARIZONA,04,0400770,Imagine Prep Surprise  Inc.,040077002903,Imagine Prep Surprise,30,GE80,.,.,1,PS,3,PS,4,PS,.,.,22,GE80,6,GE50,8,GE50,.,.,30AUG15,29AUG15
ARIZONA,04,0400771,Blue Adobe Project,040077102899,Sky Islands,15,LT50,.,.,.,.,.,.,4,PS,.,.,8,LT50,2,PS,.,.,.,.,30AUG15,29AUG15
ARIZONA,04,0400776,Daisy Education Corporation dba Sonoran Science Academy - Ph,040077602387,Sonoran Science Academy - Phoenix,16,GE80,.,.,.,.,2,PS,3,PS,.,.,11,GE50,2,PS,14,GE50,3,PS,30AUG15,29AUG15
ARIZONA,04,0400778,Paragon Education Corporation,040077802902,Paragon Science Academy,8,GE50,.,.,2,PS,.,.,.,.,.,.,6,GE50,.,.,.,.,.,.,30AUG15,29AUG15
ARIZONA,04,0400783,Imagine Prep Superstition  Inc.,040078302932,Imagine Prep Superstition,18,GE80,1,PS,.,.,3,PS,2,PS,.,.,12,GE50,1,PS,10,GE50,.,.,30AUG15,29AUG15
ARIZONA,04,0400785,AZ Compass Schools  Inc.,040078502929,AZ Compass Prep School,14,GE50,7,GE50,1,PS,1,PS,4,PS,.,.,1,PS,.,.,12,GE50,.,.,30AUG15,29AUG15
ARIZONA,04,0400790,Apache Junction Unified District,040079000043,Apache Junction High School,334,77,3,PS,4,PS,4,PS,89,75-79,.,.,222,75-79,38,60-69,169,70-74,2,PS,30AUG15,29AUG15
ARIZONA,04,0400790,Apache Junction Unified District,040079003333,Superstition Mountain On-Line School,12,LT50,.,.,.,.,.,.,4,PS,.,.,8,LT50,1,PS,2,PS,.,.,30AUG15,29AUG15
ARIZONA,04,0400796,CAFA  Inc. dba Learning Foundation and Performing Arts Alta,040079602645,Learning Foundation and Performing Arts Alta Mesa,7,GE50,.,.,1,PS,.,.,1,PS,.,.,5,PS,1,PS,3,PS,.,.,30AUG15,29AUG15
ARIZONA,04,0400803,CAFA  Inc. dba Learning Foundation and Performing Arts Gilbe,040080302667,Learning Foundation and Performing Arts Gilbert,21,GE80,.,.,1,PS,.,.,4,PS,.,.,13,GE50,.,.,9,GE50,.,.,30AUG15,29AUG15
ARIZONA,04,0400807,Sonoran Science Academy - Davis Monthan,040080702976,Sonoran Science Academy - Davis Monthan,15,GE50,.,.,1,PS,1,PS,2,PS,.,.,9,GE50,.,.,1,PS,.,.,30AUG15,29AUG15
ARIZONA,04,0400811,Ombudsman Educational Services  LTD  a subsidiary of Educati,040081101583,Ombudsman - Charter East,37,11-19,1,PS,.,.,.,.,31,20-29,.,.,5,PS,1,PS,1,PS,1,PS,30AUG15,29AUG15
ARIZONA,04,0400811,Ombudsman Educational Services  LTD  a subsidiary of Educati,040081102855,Ombudsman - Charter East II,40,20-29,2,PS,1,PS,3,PS,33,11-19,.,.,1,PS,5,PS,7,LT50,1,PS,30AUG15,29AUG15
